nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.078090, 0.607456, 11.949761
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.083270, 0.647747, 12.742347
0, 8, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.086967, 0.676510, 13.308171
0, 9, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.084273, 0.655551, 12.895869
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.110788, 0.735964, 17.047782
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.111742, 0.742298, 17.194492
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.107309, 0.712851, 16.512396
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.113500, 0.753977, 17.465035
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.108203, 0.718792, 16.649999
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.113500, 0.753977, 17.465035
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.108929, 0.723616, 16.761745
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.112712, 0.748741, 17.343749
0, 8, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.111934, 0.743578, 17.224138
0, 9, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 32, 0.000002, 31.261176, 0.112712, 0.748741, 17.343749
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.110788, 0.735282, 17.047782
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.112322, 0.745459, 17.283738
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.110978, 0.736538, 17.076924
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.109665, 0.727829, 16.874999
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.109480, 0.726602, 16.846544
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.112712, 0.748047, 17.343749
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.111550, 0.740335, 17.164948
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.109112, 0.724160, 16.789916
0, 8, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.112908, 0.749348, 17.373913
0, 9, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 4, 64, 0.000002, 31.261176, 0.105564, 0.700610, 16.243902
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.226283, 1.117301, 35.362832
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.232033, 1.145690, 36.261343
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.224692, 1.109446, 35.114234
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.221962, 1.095964, 34.687499
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.224692, 1.109446, 35.114234
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.227897, 1.125267, 35.614972
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.224298, 1.107500, 35.052633
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.219674, 1.084665, 34.329896
0, 8, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.229122, 1.131317, 35.806452
0, 9, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 32, 0.000002, 101.433322, 0.225883, 1.115327, 35.300353
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 64, 0.000002, 101.433322, 0.213083, 1.051458, 33.299998
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 64, 0.000002, 101.433322, 0.214154, 1.056742, 33.467336
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 8, 64, 0.000002, 101.433322, 0.221577, 1.093371, 34.627381
